tweet_id,airline_sentiment_confidence,negativereason,negativereason_confidence,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentiment_result,airline
5.7e+17,1,NaN,NaN,NaN,HyperCamiLax,NaN,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,NaN,2/24/2015 10:30,NYC,America/New_York,positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,HyperCamiLax,NaN,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,NaN,2/24/2015 10:30,NYC,America/New_York,positive,Virgin America
5.7e+17,0.6451,NaN,NaN,NaN,mollanderson,NaN,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,NaN,2/24/2015 10:21,NaN,Eastern Time (US & Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,sjespers,NaN,0,@VirginAmerica Thanks!,NaN,2/24/2015 10:15,"San Francisco, CA",Pacific Time (US & Canada),positive,Virgin America
5.7e+17,0.6842,Late Flight,0.3684,NaN,smartwatermelon,NaN,0,@VirginAmerica SFO-PDX schedule is still MIA.,NaN,2/24/2015 10:01,"palo alto, ca",Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,ItzBrianHunty,NaN,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,NaN,2/24/2015 9:42,west covina,Pacific Time (US & Canada),positive,Virgin America
5.7e+17,1,Bad Flight,1,NaN,heatherovieda,NaN,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,NaN,2/24/2015 9:39,this place called NYC,Eastern Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,thebrandiray,NaN,0,I ❤️ flying @VirginAmerica. ☺️👍,NaN,2/24/2015 9:15,Somewhere celebrating life. ,Atlantic Time (Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,JNLpierce,NaN,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,NaN,2/24/2015 9:04,Boston | Waltham,Quito,positive,Virgin America
5.7e+17,0.6705,Can't Tell,0.3614,NaN,MISSGJ,NaN,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,NaN,2/24/2015 8:55,NaN,NaN,negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,DT_Les,NaN,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2/24/2015 8:49,NaN,NaN,positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,ElvinaBeck,NaN,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,NaN,2/24/2015 8:30,Los Angeles,Pacific Time (US & Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,rjlynch21086,NaN,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,NaN,2/24/2015 8:27,"Boston, MA ",Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,1,Customer Service Issue,0.3557,NaN,ayeevickiee,NaN,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,NaN,2/24/2015 8:18,714,Mountain Time (US & Canada),negative,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,Leora13,NaN,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,NaN,2/24/2015 7:49,NaN,NaN,negative,Virgin America
5.7e+17,1,Can't Tell,0.6614,NaN,meredithjlynn,NaN,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,NaN,2/24/2015 7:11,NaN,NaN,negative,Virgin America
5.7e+17,0.6854,NaN,NaN,NaN,AdamSinger,NaN,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,NaN,2/24/2015 5:44,"San Francisco, CA",Central Time (US & Canada),neutral,Virgin America
5.7e+17,1,Bad Flight,1,NaN,blackjackpro911,NaN,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2/24/2015 5:05,"San Mateo, CA & Las Vegas, NV",NaN,negative,Virgin America
5.7e+17,0.615,NaN,0,NaN,TenantsUpstairs,NaN,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,"[33.94540417, -118.4062472]",2/23/2015 23:34,Brooklyn,Atlantic Time (Canada),neutral,Virgin America
5.7e+17,1,Flight Booking Problems,1,NaN,jordanpichler,NaN,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",NaN,2/23/2015 22:52,NaN,Vienna,negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,JCervantezzz,NaN,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,NaN,2/23/2015 21:35,"California, San Francisco",Pacific Time (US & Canada),neutral,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,Cuschoolie1,NaN,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2/23/2015 21:10,Washington DC,Quito,negative,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,amanduhmccarty,NaN,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",NaN,2/23/2015 20:55,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,NorthTxHomeTeam,NaN,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",2/23/2015 20:24,Texas,Central Time (US & Canada),positive,Virgin America
5.7e+17,0.6207,NaN,NaN,NaN,miaerolinea,NaN,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,NaN,2/23/2015 18:46,Worldwide,Caracas,neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,Nicsplace,NaN,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,NaN,2/23/2015 18:43,Central Texas,NaN,positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,Nicsplace,NaN,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",NaN,2/23/2015 18:19,Central Texas,NaN,positive,Virgin America
5.7e+17,0.6791,NaN,0,NaN,elisha_malulani,NaN,0,@VirginAmerica when can I book my flight to Hawaii??,NaN,2/23/2015 17:54,i'm creating a monster ,Pacific Time (US & Canada),neutral,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,DannyDouglass,NaN,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,NaN,2/23/2015 17:41,"San Francisco, CA",Pacific Time (US & Canada),negative,Virgin America
5.7e+17,0.6639,NaN,NaN,NaN,jamesferrandini,NaN,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",NaN,2/23/2015 17:32,NaN,NaN,positive,Virgin America
5.7e+17,0.6688,Flight Booking Problems,0.6688,NaN,will_lenzenjr,NaN,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",NaN,2/23/2015 17:00,Iowa City,Central Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,GottAmanda,NaN,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,"[34.0219817, -118.38591198]",2/23/2015 16:24,Los Angeles,NaN,neutral,Virgin America
5.7e+17,0.6578,NaN,0,NaN,KGervaise,NaN,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,NaN,2/23/2015 16:20,Georgia,Pacific Time (US & Canada),neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,papamurat,NaN,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,NaN,2/23/2015 16:13,NaN,NaN,neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,arieldaie,NaN,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,NaN,2/23/2015 16:08,Los Angeles,NaN,positive,Virgin America
5.7e+17,0.6799,NaN,NaN,NaN,vacations7,NaN,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,NaN,2/23/2015 16:04,Turks and caicos,NaN,neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,ChelseaPoe666,NaN,0,@VirginAmerica wow this just blew my mind,NaN,2/23/2015 16:01,Oakland via Midwest ,Atlantic Time (Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,BobGlavinVO,NaN,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,NaN,2/23/2015 16:01,"New York, NY",Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,0.6436,NaN,NaN,NaN,lisaaiko,NaN,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,NaN,2/23/2015 15:58,NaN,NaN,neutral,Virgin America
5.7e+17,0.6764,NaN,0,NaN,grantbrowne,NaN,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",NaN,2/23/2015 15:55,Worldwide,Central Time (US & Canada),neutral,Virgin America
5.7e+17,0.657,NaN,NaN,NaN,joyabsalon,NaN,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,NaN,2/23/2015 15:46,Northern Virginia,Eastern Time (US & Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,2v,NaN,0,@VirginAmerica wish you flew out of Atlanta... Soon?,NaN,2/23/2015 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,0.7118,NaN,0,NaN,KSmithFoundHere,NaN,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,NaN,2/23/2015 15:24,NaN,Atlantic Time (Canada),neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,papamurat,NaN,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,NaN,2/23/2015 15:19,NaN,NaN,neutral,Virgin America
5.7e+17,0.6939,Flight Booking Problems,0.6939,NaN,murphicus,NaN,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,NaN,2/23/2015 15:05,"new york, new york",Eastern Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,VinnieFerra,NaN,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,NaN,2/23/2015 15:04,"brooklyn, Ny",Pacific Time (US & Canada),positive,Virgin America
5.7e+17,0.635,NaN,NaN,NaN,KevinDemsi,NaN,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,NaN,2/23/2015 14:40,"Bali, Republic of Indonesia",Kuala Lumpur,positive,Virgin America
5.7e+17,0.7007,NaN,NaN,NaN,giffgaffman,NaN,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,NaN,2/23/2015 14:40,"UK, USA. ",NaN,neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,HanlonBrothers,NaN,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,NaN,2/23/2015 14:37,"Gold Coast, Australia",Brisbane,neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,emilybg78,NaN,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,NaN,2/23/2015 14:36,"Stockton, CA",Arizona,neutral,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,rachie1126,NaN,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,NaN,2/23/2015 14:35,"New York, NY",Eastern Time (US & Canada),negative,Virgin America
5.7e+17,0.6858,NaN,NaN,NaN,adawson66,NaN,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌","[33.57963333, -117.73024772]",2/23/2015 14:30,NaN,NaN,neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,SocialPLC,NaN,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",NaN,2/23/2015 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,jeffreymace01,NaN,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,NaN,2/23/2015 14:25,NaN,NaN,positive,Virgin America
5.7e+17,0.6814,NaN,0,NaN,1stcrown,NaN,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,NaN,2/23/2015 14:09,USA,Central Time (US & Canada),neutral,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,onerockgypsy,NaN,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,NaN,2/23/2015 13:46,next city,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,Late Flight,0.6789,NaN,noelduan,NaN,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",NaN,2/23/2015 13:35,SF ↔ NY,Eastern Time (US & Canada),negative,Virgin America
5.7e+17,0.6922,NaN,NaN,NaN,Travelzoo,NaN,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,NaN,2/23/2015 13:30,"New York, NY",Pacific Time (US & Canada),positive,Virgin America
5.7e+17,1,Lost Luggage,1,NaN,gianagon,NaN,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2/23/2015 13:08,New York + Panama,Eastern Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,bxchen,NaN,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,NaN,2/23/2015 12:47,"San Francisco, CA",Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,0.6492,NaN,0,NaN,seimatrun,NaN,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,NaN,2/23/2015 12:00,Los Angeles,NaN,neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,jamied7,NaN,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",NaN,2/23/2015 11:56,"London, England",London,neutral,Virgin America
5.7e+17,1,Flight Attendant Complaints,0.3516,NaN,seimatrun,NaN,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,NaN,2/23/2015 11:46,Los Angeles,NaN,negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,mrmichaellay,NaN,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2/23/2015 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,TaylorLumsden,NaN,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,NaN,2/23/2015 11:28,"Dallas, Texas",Mountain Time (US & Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,campusmoviefest,NaN,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",NaN,2/23/2015 11:24,USA,Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,TaylorLumsden,NaN,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,NaN,2/23/2015 11:22,"Dallas, Texas",Mountain Time (US & Canada),neutral,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,meme_meng,NaN,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,NaN,2/23/2015 11:02,NaN,NaN,negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,kyle_romanoff,NaN,0,@VirginAmerica what happened to Doom?!,NaN,2/23/2015 10:58,NaN,NaN,neutral,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,GunsNDip,NaN,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,NaN,2/23/2015 10:56,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,artisticwritr87,NaN,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,NaN,2/23/2015 10:56,"Seattle, WA",Pacific Time (US & Canada),positive,Virgin America
5.7e+17,0.6792,Late Flight,0.3477,NaN,arieldaie,NaN,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,NaN,2/23/2015 10:54,Los Angeles,NaN,negative,Virgin America
5.7e+17,1,Can't Tell,1,NaN,GunsNDip,NaN,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,NaN,2/23/2015 10:54,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,Can't Tell,1,NaN,GunsNDip,NaN,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,NaN,2/23/2015 10:38,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,Flight Booking Problems,1,NaN,jsatk,NaN,0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,"[0.0, 0.0]",2/23/2015 10:29,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada),negative,Virgin America
5.7e+17,0.6705,NaN,0,NaN,serenaklal,NaN,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,NaN,2/23/2015 10:15,Chicago,Eastern Time (US & Canada),neutral,Virgin America
5.7e+17,1,NaN,NaN,NaN,openambit1,NaN,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,NaN,2/23/2015 10:09,NaN,NaN,neutral,Virgin America
5.7e+17,0.6545,NaN,0,NaN,cabowine,NaN,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,NaN,2/23/2015 10:04,"Los Cabos,Mexico",Arizona,neutral,Virgin America
5.7e+17,1,Can't Tell,0.6513,NaN,MaryAnnTaylorT,NaN,0,@VirginAmerica Why is the site down?  When will it be back up?,NaN,2/23/2015 9:57,"New York, NY",Arizona,negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,RamotControl,NaN,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",NaN,2/23/2015 9:45,NaN,Pacific Time (US & Canada),neutral,Virgin America
5.7e+17,0.6639,NaN,0,NaN,losermelon,NaN,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",NaN,2/23/2015 9:35,NaN,NaN,neutral,Virgin America
5.7e+17,1,Cancelled Flight,1,NaN,AlisonK33774854,NaN,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,NaN,2/23/2015 9:29,NaN,NaN,negative,Virgin America
5.7e+17,1,Late Flight,1,NaN,GunsNDip,NaN,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",NaN,2/23/2015 9:28,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,0.6765,NaN,0,NaN,yazdanagh,NaN,0,@VirginAmerica why is flight 345 redirected?,NaN,2/23/2015 9:26,NaN,NaN,neutral,Virgin America
5.7e+17,1,Customer Service Issue,0.6863,NaN,MerchEngines,NaN,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",NaN,2/23/2015 9:25,"Los Angeles, CA",Arizona,negative,Virgin America
5.7e+17,1,Customer Service Issue,0.6771,NaN,ColorCartel,NaN,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,NaN,2/23/2015 9:18,"Austin, TX",Mountain Time (US & Canada),negative,Virgin America
5.7e+17,1,Can't Tell,0.659,NaN,MustBeSpoken,NaN,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,NaN,2/23/2015 9:11,NaN,NaN,negative,Virgin America
5.7e+17,1,Flight Booking Problems,0.6714,NaN,mattbunk,NaN,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,NaN,2/23/2015 8:29,"Sterling Heights, MI",Eastern Time (US & Canada),negative,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,louisjenny,NaN,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,NaN,2/23/2015 8:19,Washington DC,Quito,negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,STravelsW,NaN,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,NaN,2/23/2015 8:19,"Manhattan Beach, CA",NaN,neutral,Virgin America
5.7e+17,1,Late Flight,0.6882,NaN,GunsNDip,NaN,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,NaN,2/23/2015 8:11,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,joeyrenagade,NaN,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,NaN,2/23/2015 8:08,Greater Los Angeles,NaN,neutral,Virgin America
5.7e+17,0.6925,Late Flight,0.3521,NaN,mrmichaellay,NaN,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,"[0.0, 0.0]",2/23/2015 8:08,Floridian from Cincinnati ,Eastern Time (US & Canada),negative,Virgin America
5.7e+17,1,Late Flight,0.3486,NaN,GunsNDip,NaN,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,NaN,2/23/2015 7:51,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,NaN,NaN,NaN,TheDuchessSF,NaN,0,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",NaN,2/23/2015 7:50,Online,Pacific Time (US & Canada),positive,Virgin America
5.7e+17,1,Customer Service Issue,1,NaN,BeLeather,NaN,0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,"[0.0, 0.0]",2/23/2015 7:40,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,1,Flight Booking Problems,0.6366,NaN,BeLeather,NaN,0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,"[0.0, 0.0]",2/23/2015 7:40,NaN,Pacific Time (US & Canada),negative,Virgin America
5.7e+17,0.6593,NaN,0,NaN,drcaseydrake,NaN,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,"[37.79374402, -122.39327564]",2/23/2015 7:28,"Dallas, TX",NaN,neutral,Virgin America
5.7e+17,0.6823,NaN,0,NaN,flyfromWAS,NaN,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",NaN,2/23/2015 6:57,"Washington, DC",Eastern Time (US & Canada),positive,Virgin America
5.7e+17,1,NaN,NaN,NaN,flyfromSEA,NaN,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",NaN,2/23/2015 6:57,Seattle,Central Time (US & Canada),neutral,Virgin America
5.7e+17,0.6806,NaN,NaN,NaN,flyfromNYC,NaN,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",NaN,2/23/2015 6:57,"New York City, NY",Central Time (US & Canada),positive,Virgin America
5.7e+17,0.6529,NaN,NaN,NaN,flyfromLAX,NaN,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",NaN,2/23/2015 6:57,"Los Angeles, CA",Central Time (US & Canada),neutral,Virgin America
